N(MN0:GM),N(MN0:VTH),N(MN0:CGD),N(MN0:CGS),N(MN0:GDS),I(VD),VG
1.01802928e-11,6.73619189e-01,-2.28208362e-16,-3.56409720e-16,2.89370405e-13,-9.94280423e-13,0.00000000e+00
1.04535663e-11,6.73619189e-01,-2.28264244e-16,-3.56810591e-16,2.97138173e-13,-1.00459675e-12,1.00000000e-03
1.07341744e-11,6.73619189e-01,-2.28320312e-16,-3.57210886e-16,3.05114429e-13,-1.01519000e-12,2.00000000e-03
1.10223139e-11,6.73619189e-01,-2.28376564e-16,-3.57610590e-16,3.13304767e-13,-1.02606761e-12,3.00000000e-03
1.13181869e-11,6.73619189e-01,-2.28433003e-16,-3.58009692e-16,3.21714933e-13,-1.03723721e-12,4.00000000e-03
1.16220009e-11,6.73619189e-01,-2.28489629e-16,-3.58408176e-16,3.30350825e-13,-1.04870663e-12,5.00000000e-03
1.19339690e-11,6.73619189e-01,-2.28546444e-16,-3.58806030e-16,3.39218501e-13,-1.06048393e-12,6.00000000e-03
1.22543100e-11,6.73619189e-01,-2.28603447e-16,-3.59203240e-16,3.48324180e-13,-1.07257736e-12,7.00000000e-03
1.25832485e-11,6.73619189e-01,-2.28660640e-16,-3.59599794e-16,3.57674248e-13,-1.08499541e-12,8.00000000e-03
1.29210153e-11,6.73619189e-01,-2.28718023e-16,-3.59995678e-16,3.67275264e-13,-1.09774680e-12,9.00000000e-03
1.32678473e-11,6.73619189e-01,-2.28775598e-16,-3.60390879e-16,3.77133961e-13,-1.11084046e-12,1.00000000e-02
1.36239876e-11,6.73619189e-01,-2.28833366e-16,-3.60785386e-16,3.87257254e-13,-1.12428560e-12,1.10000000e-02
1.39896861e-11,6.73619189e-01,-2.28891327e-16,-3.61179183e-16,3.97652243e-13,-1.13809163e-12,1.20000000e-02
1.43651991e-11,6.73619189e-01,-2.28949482e-16,-3.61572261e-16,4.08326217e-13,-1.15226824e-12,1.30000000e-02
1.47507901e-11,6.73619189e-01,-2.29007833e-16,-3.61964604e-16,4.19286663e-13,-1.16682538e-12,1.40000000e-02
1.51467295e-11,6.73619189e-01,-2.29066379e-16,-3.62356203e-16,4.30541267e-13,-1.18177327e-12,1.50000000e-02
1.55532949e-11,6.73619189e-01,-2.29125123e-16,-3.62747043e-16,4.42097922e-13,-1.19712238e-12,1.60000000e-02
1.59707714e-11,6.73619189e-01,-2.29184064e-16,-3.63137113e-16,4.53964733e-13,-1.21288350e-12,1.70000000e-02
1.63994517e-11,6.73619189e-01,-2.29243204e-16,-3.63526401e-16,4.66150021e-13,-1.22906766e-12,1.80000000e-02
1.68396366e-11,6.73619189e-01,-2.29302544e-16,-3.63914894e-16,4.78662332e-13,-1.24568623e-12,1.90000000e-02
1.72916345e-11,6.73619189e-01,-2.29362085e-16,-3.64302582e-16,4.91510439e-13,-1.26275087e-12,2.00000000e-02
1.77557625e-11,6.73619189e-01,-2.29421828e-16,-3.64689452e-16,5.04703353e-13,-1.28027355e-12,2.10000000e-02
1.82323461e-11,6.73619189e-01,-2.29481773e-16,-3.65075492e-16,5.18250325e-13,-1.29826655e-12,2.20000000e-02
1.87217193e-11,6.73619189e-01,-2.29541921e-16,-3.65460692e-16,5.32160854e-13,-1.31674250e-12,2.30000000e-02
1.92242254e-11,6.73619189e-01,-2.29602275e-16,-3.65845040e-16,5.46444695e-13,-1.33571437e-12,2.40000000e-02
1.97402166e-11,6.73619189e-01,-2.29662834e-16,-3.66228525e-16,5.61111862e-13,-1.35519545e-12,2.50000000e-02
2.02700548e-11,6.73619189e-01,-2.29723599e-16,-3.66611135e-16,5.76172641e-13,-1.37519941e-12,2.60000000e-02
2.08141114e-11,6.73619189e-01,-2.29784571e-16,-3.66992860e-16,5.91637591e-13,-1.39574030e-12,2.70000000e-02
2.13727679e-11,6.73619189e-01,-2.29845753e-16,-3.67373688e-16,6.07517557e-13,-1.41683250e-12,2.80000000e-02
2.19464159e-11,6.73619189e-01,-2.29907143e-16,-3.67753610e-16,6.23823672e-13,-1.43849083e-12,2.90000000e-02
2.25354577e-11,6.73619189e-01,-2.29968744e-16,-3.68132614e-16,6.40567368e-13,-1.46073047e-12,3.00000000e-02
2.31403061e-11,6.73619189e-01,-2.30030557e-16,-3.68510691e-16,6.57760386e-13,-1.48356701e-12,3.10000000e-02
