N(MN0:GM),N(MN0:VTH),N(MN0:CGD),N(MN0:CGS),N(MN0:GDS),I(VD),VG
2.92659862e-12,6.86365764e-01,-2.28208362e-16,-3.56409720e-16,1.66252451e-14,-7.20468663e-13,0.00000000e+00
3.00516175e-12,6.86365764e-01,-2.28264244e-16,-3.56810591e-16,1.70715538e-14,-7.23434370e-13,1.00000000e-03
3.08583363e-12,6.86365764e-01,-2.28320312e-16,-3.57210886e-16,1.75298425e-14,-7.26479689e-13,2.00000000e-03
3.16867084e-12,6.86365764e-01,-2.28376564e-16,-3.57610590e-16,1.80004328e-14,-7.29606759e-13,3.00000000e-03
3.25373149e-12,6.86365764e-01,-2.28433003e-16,-3.58009692e-16,1.84836547e-14,-7.32817772e-13,4.00000000e-03
3.34107525e-12,6.86365764e-01,-2.28489629e-16,-3.58408176e-16,1.89798474e-14,-7.36114983e-13,5.00000000e-03
3.43076340e-12,6.86365764e-01,-2.28546444e-16,-3.58806030e-16,1.94893589e-14,-7.39500704e-13,6.00000000e-03
3.52285884e-12,6.86365764e-01,-2.28603447e-16,-3.59203240e-16,2.00125466e-14,-7.42977312e-13,7.00000000e-03
3.61742618e-12,6.86365764e-01,-2.28660640e-16,-3.59599794e-16,2.05497776e-14,-7.46547246e-13,8.00000000e-03
3.71453176e-12,6.86365764e-01,-2.28718023e-16,-3.59995678e-16,2.11014288e-14,-7.50213010e-13,9.00000000e-03
3.81424368e-12,6.86365764e-01,-2.28775598e-16,-3.60390879e-16,2.16678871e-14,-7.53977178e-13,1.00000000e-02
3.91663189e-12,6.86365764e-01,-2.28833366e-16,-3.60785386e-16,2.22495500e-14,-7.57842390e-13,1.10000000e-02
4.02176821e-12,6.86365764e-01,-2.28891327e-16,-3.61179183e-16,2.28468255e-14,-7.61811358e-13,1.20000000e-02
4.12972638e-12,6.86365764e-01,-2.28949482e-16,-3.61572261e-16,2.34601326e-14,-7.65886867e-13,1.30000000e-02
4.24058212e-12,6.86365764e-01,-2.29007833e-16,-3.61964604e-16,2.40899015e-14,-7.70071776e-13,1.40000000e-02
4.35441319e-12,6.86365764e-01,-2.29066379e-16,-3.62356203e-16,2.47365739e-14,-7.74369023e-13,1.50000000e-02
4.47129943e-12,6.86365764e-01,-2.29125123e-16,-3.62747043e-16,2.54006036e-14,-7.78781621e-13,1.60000000e-02
4.59132282e-12,6.86365764e-01,-2.29184064e-16,-3.63137113e-16,2.60824562e-14,-7.83312667e-13,1.70000000e-02
4.71456754e-12,6.86365764e-01,-2.29243204e-16,-3.63526401e-16,2.67826101e-14,-7.87965340e-13,1.80000000e-02
4.84112004e-12,6.86365764e-01,-2.29302544e-16,-3.63914894e-16,2.75015565e-14,-7.92742905e-13,1.90000000e-02
4.97106906e-12,6.86365764e-01,-2.29362085e-16,-3.64302582e-16,2.82397995e-14,-7.97648713e-13,2.00000000e-02
5.10450575e-12,6.86365764e-01,-2.29421828e-16,-3.64689452e-16,2.89978571e-14,-8.02686206e-13,2.10000000e-02
5.24152369e-12,6.86365764e-01,-2.29481773e-16,-3.65075492e-16,2.97762609e-14,-8.07858918e-13,2.20000000e-02
5.38221898e-12,6.86365764e-01,-2.29541921e-16,-3.65460692e-16,3.05755570e-14,-8.13170479e-13,2.30000000e-02
5.52669029e-12,6.86365764e-01,-2.29602275e-16,-3.65845040e-16,3.13963059e-14,-8.18624615e-13,2.40000000e-02
5.67503893e-12,6.86365764e-01,-2.29662834e-16,-3.66228525e-16,3.22390834e-14,-8.24225152e-13,2.50000000e-02
5.82736894e-12,6.86365764e-01,-2.29723599e-16,-3.66611135e-16,3.31044805e-14,-8.29976019e-13,2.60000000e-02
5.98378714e-12,6.86365764e-01,-2.29784571e-16,-3.66992860e-16,3.39931042e-14,-8.35881252e-13,2.70000000e-02
6.14440324e-12,6.86365764e-01,-2.29845753e-16,-3.67373688e-16,3.49055778e-14,-8.41944993e-13,2.80000000e-02
6.30932986e-12,6.86365764e-01,-2.29907143e-16,-3.67753610e-16,3.58425412e-14,-8.48171496e-13,2.90000000e-02
6.47868265e-12,6.86365764e-01,-2.29968744e-16,-3.68132614e-16,3.68046517e-14,-8.54565128e-13,3.00000000e-02
6.65258038e-12,6.86365764e-01,-2.30030557e-16,-3.68510691e-16,3.77925838e-14,-8.61130376e-13,3.10000000e-02
6.83114498e-12,6.86365764e-01,-2.30092582e-16,-3.68887829e-16,3.88070305e-14,-8.67871844e-13,3.20000000e-02
7.01450167e-12,6.86365764e-01,-2.30154820e-16,-3.69264019e-16,3.98487033e-14,-8.74794263e-13,3.30000000e-02
7.20277901e-12,6.86365764e-01,-2.30217273e-16,-3.69639251e-16,4.09183327e-14,-8.81902488e-13,3.40000000e-02
7.39610903e-12,6.86365764e-01,-2.30279941e-16,-3.70013514e-16,4.20166688e-14,-8.89201505e-13,3.50000000e-02
7.59462729e-12,6.86365764e-01,-2.30342826e-16,-3.70386800e-16,4.31444818e-14,-8.96696435e-13,3.60000000e-02
7.79847297e-12,6.86365764e-01,-2.30405928e-16,-3.70759098e-16,4.43025628e-14,-9.04392536e-13,3.70000000e-02
8.00778900e-12,6.86365764e-01,-2.30469249e-16,-3.71130399e-16,4.54917236e-14,-9.12295205e-13,3.80000000e-02
8.22272215e-12,6.86365764e-01,-2.30532789e-16,-3.71500694e-16,4.67127984e-14,-9.20409986e-13,3.90000000e-02
8.44342311e-12,6.86365764e-01,-2.30596550e-16,-3.71869973e-16,4.79666433e-14,-9.28742572e-13,4.00000000e-02
8.67004662e-12,6.86365764e-01,-2.30660533e-16,-3.72238227e-16,4.92541376e-14,-9.37298806e-13,4.10000000e-02
8.90275157e-12,6.86365764e-01,-2.30724739e-16,-3.72605448e-16,5.05761842e-14,-9.46084692e-13,4.20000000e-02
9.14170109e-12,6.86365764e-01,-2.30789169e-16,-3.72971627e-16,5.19337099e-14,-9.55106391e-13,4.30000000e-02
9.38706272e-12,6.86365764e-01,-2.30853823e-16,-3.73336756e-16,5.33276668e-14,-9.64370232e-13,4.40000000e-02
9.63900846e-12,6.86365764e-01,-2.30918704e-16,-3.73700825e-16,5.47590322e-14,-9.73882711e-13,4.50000000e-02
9.89771495e-12,6.86365764e-01,-2.30983811e-16,-3.74063826e-16,5.62288097e-14,-9.83650502e-13,4.60000000e-02
1.01633635e-11,6.86365764e-01,-2.31049147e-16,-3.74425752e-16,5.77380300e-14,-9.93680455e-13,4.70000000e-02
1.04361405e-11,6.86365764e-01,-2.31114712e-16,-3.74786594e-16,5.92877512e-14,-1.00397961e-12,4.80000000e-02
1.07162369e-11,6.86365764e-01,-2.31180508e-16,-3.75146344e-16,6.08790598e-14,-1.01455518e-12,4.90000000e-02
1.10038493e-11,6.86365764e-01,-2.31246535e-16,-3.75504995e-16,6.25130716e-14,-1.02541458e-12,5.00000000e-02
1.12991792e-11,6.86365764e-01,-2.31312795e-16,-3.75862540e-16,6.41909322e-14,-1.03656545e-12,5.10000000e-02
1.16024336e-11,6.86365764e-01,-2.31379288e-16,-3.76218969e-16,6.59138179e-14,-1.04801558e-12,5.20000000e-02
1.19138251e-11,6.86365764e-01,-2.31446017e-16,-3.76574278e-16,6.76829366e-14,-1.05977303e-12,5.30000000e-02
1.22335719e-11,6.86365764e-01,-2.31512981e-16,-3.76928457e-16,6.94995286e-14,-1.07184602e-12,5.40000000e-02
1.25618982e-11,6.86365764e-01,-2.31580183e-16,-3.77281501e-16,7.13648673e-14,-1.08424303e-12,5.50000000e-02
1.28990341e-11,6.86365764e-01,-2.31647623e-16,-3.77633403e-16,7.32802606e-14,-1.09697275e-12,5.60000000e-02
1.32452158e-11,6.86365764e-01,-2.31715302e-16,-3.77984155e-16,7.52470511e-14,-1.11004411e-12,5.70000000e-02
1.36006861e-11,6.86365764e-01,-2.31783222e-16,-3.78333751e-16,7.72666175e-14,-1.12346628e-12,5.80000000e-02
1.39656940e-11,6.86365764e-01,-2.31851384e-16,-3.78682186e-16,7.93403756e-14,-1.13724866e-12,5.90000000e-02
1.43404954e-11,6.86365764e-01,-2.31919789e-16,-3.79029452e-16,8.14697791e-14,-1.15140093e-12,6.00000000e-02
1.47253529e-11,6.86365764e-01,-2.31988438e-16,-3.79375543e-16,8.36563206e-14,-1.16593301e-12,6.10000000e-02
1.51205363e-11,6.86365764e-01,-2.32057332e-16,-3.79720454e-16,8.59015327e-14,-1.18085508e-12,6.20000000e-02
1.55263224e-11,6.86365764e-01,-2.32126473e-16,-3.80064179e-16,8.82069892e-14,-1.19617761e-12,6.30000000e-02
1.59429957e-11,6.86365764e-01,-2.32195862e-16,-3.80406712e-16,9.05743061e-14,-1.21191135e-12,6.40000000e-02
1.63708481e-11,6.86365764e-01,-2.32265500e-16,-3.80748048e-16,9.30051427e-14,-1.22806733e-12,6.50000000e-02
1.68101794e-11,6.86365764e-01,-2.32335388e-16,-3.81088181e-16,9.55012026e-14,-1.24465688e-12,6.60000000e-02
1.72612975e-11,6.86365764e-01,-2.32405527e-16,-3.81427106e-16,9.80642353e-14,-1.26169162e-12,6.70000000e-02
1.77245184e-11,6.86365764e-01,-2.32475919e-16,-3.81764819e-16,1.00696037e-13,-1.27918351e-12,6.80000000e-02
1.82001669e-11,6.86365764e-01,-2.32546565e-16,-3.82101313e-16,1.03398453e-13,-1.29714480e-12,6.90000000e-02
1.86885760e-11,6.86365764e-01,-2.32617466e-16,-3.82436585e-16,1.06173376e-13,-1.31558809e-12,7.00000000e-02
1.91900880e-11,6.86365764e-01,-2.32688623e-16,-3.82770629e-16,1.09022751e-13,-1.33452632e-12,7.10000000e-02
1.97050544e-11,6.86365764e-01,-2.32760038e-16,-3.83103442e-16,1.11948576e-13,-1.35397275e-12,7.20000000e-02
2.02338358e-11,6.86365764e-01,-2.32831713e-16,-3.83435019e-16,1.14952899e-13,-1.37394103e-12,7.30000000e-02
2.07768027e-11,6.86365764e-01,-2.32903647e-16,-3.83765355e-16,1.18037828e-13,-1.39444515e-12,7.40000000e-02
2.13343356e-11,6.86365764e-01,-2.32975842e-16,-3.84094447e-16,1.21205523e-13,-1.41549949e-12,7.50000000e-02
2.19068249e-11,6.86365764e-01,-2.33048301e-16,-3.84422291e-16,1.24458204e-13,-1.43711881e-12,7.60000000e-02
2.24946718e-11,6.86365764e-01,-2.33121023e-16,-3.84748883e-16,1.27798150e-13,-1.45931826e-12,7.70000000e-02
2.30982880e-11,6.86365764e-01,-2.33194011e-16,-3.85074219e-16,1.31227702e-13,-1.48211341e-12,7.80000000e-02
2.37180963e-11,6.86365764e-01,-2.33267266e-16,-3.85398296e-16,1.34749263e-13,-1.50552023e-12,7.90000000e-02
2.43545310e-11,6.86365764e-01,-2.33340788e-16,-3.85721110e-16,1.38365300e-13,-1.52955514e-12,8.00000000e-02
2.50080377e-11,6.86365764e-01,-2.33414580e-16,-3.86042659e-16,1.42078345e-13,-1.55423499e-12,8.10000000e-02
2.56790742e-11,6.86365764e-01,-2.33488642e-16,-3.86362939e-16,1.45891002e-13,-1.57957706e-12,8.20000000e-02
2.63681105e-11,6.86365764e-01,-2.33562977e-16,-3.86681948e-16,1.49805941e-13,-1.60559914e-12,8.30000000e-02
2.70756292e-11,6.86365764e-01,-2.33637585e-16,-3.86999682e-16,1.53825904e-13,-1.63231944e-12,8.40000000e-02
2.78021258e-11,6.86365764e-01,-2.33712467e-16,-3.87316138e-16,1.57953709e-13,-1.65975672e-12,8.50000000e-02
2.85481090e-11,6.86365764e-01,-2.33787626e-16,-3.87631315e-16,1.62192245e-13,-1.68793019e-12,8.60000000e-02
2.93141014e-11,6.86365764e-01,-2.33863062e-16,-3.87945210e-16,1.66544484e-13,-1.71685961e-12,8.70000000e-02
3.01006392e-11,6.86365764e-01,-2.33938777e-16,-3.88257820e-16,1.71013472e-13,-1.74656524e-12,8.80000000e-02
3.09082733e-11,6.86365764e-01,-2.34014771e-16,-3.88569144e-16,1.75602342e-13,-1.77706792e-12,8.90000000e-02
3.17375693e-11,6.86365764e-01,-2.34091048e-16,-3.88879179e-16,1.80314306e-13,-1.80838901e-12,9.00000000e-02
3.25891077e-11,6.86365764e-01,-2.34167608e-16,-3.89187924e-16,1.85152666e-13,-1.84055047e-12,9.10000000e-02
3.34634848e-11,6.86365764e-01,-2.34244452e-16,-3.89495376e-16,1.90120810e-13,-1.87357484e-12,9.20000000e-02
3.43613129e-11,6.86365764e-01,-2.34321581e-16,-3.89801535e-16,1.95222218e-13,-1.90748526e-12,9.30000000e-02
3.52832205e-11,6.86365764e-01,-2.34398998e-16,-3.90106398e-16,2.00460462e-13,-1.94230549e-12,9.40000000e-02
3.62298530e-11,6.86365764e-01,-2.34476704e-16,-3.90409964e-16,2.05839211e-13,-1.97805994e-12,9.50000000e-02
3.72018732e-11,6.86365764e-01,-2.34554700e-16,-3.90712233e-16,2.11362233e-13,-2.01477366e-12,9.60000000e-02
3.81999616e-11,6.86365764e-01,-2.34632987e-16,-3.91013202e-16,2.17033394e-13,-2.05247237e-12,9.70000000e-02
3.92248168e-11,6.86365764e-01,-2.34711568e-16,-3.91312870e-16,2.22856666e-13,-2.09118250e-12,9.80000000e-02
4.02771562e-11,6.86365764e-01,-2.34790443e-16,-3.91611238e-16,2.28836126e-13,-2.13093117e-12,9.90000000e-02
4.13577165e-11,6.86365764e-01,-2.34869614e-16,-3.91908304e-16,2.34975962e-13,-2.17174622e-12,1.00000000e-01
4.24672539e-11,6.86365764e-01,-2.34949082e-16,-3.92204067e-16,2.41280473e-13,-2.21365626e-12,1.01000000e-01
4.36065451e-11,6.86365764e-01,-2.35028849e-16,-3.92498527e-16,2.47754073e-13,-2.25669065e-12,1.02000000e-01
4.47763875e-11,6.86365764e-01,-2.35108917e-16,-3.92791684e-16,2.54401294e-13,-2.30087953e-12,1.03000000e-01
4.59775997e-11,6.86365764e-01,-2.35189287e-16,-3.93083536e-16,2.61226790e-13,-2.34625388e-12,1.04000000e-01
